SHOW_ID,TITLE,TYPE,GENRE,RELEASE_DATE,RATING,DURATION,COUNTRY,DIRECTOR,CAST,DATE_ADDED,DESCRIPTION
s3416,The Witcher,TV Show,Comedy,04-12-2017,5.2,129 min,Japan,NIL,"Actor D, Actor B, Actor A, Actor C, Actor E",22-04-2017,An unexpected journey.
s260,Ozark,Movie,,,6.5,100 min,India,John Doe,"Actor E, Actor C, Actor D, Actor B",15-02-2024,Based on true events.
s794,You,TV Show,Thriller,25-01-2018,Not Rated,149 min,South Korea,NIL,Actor E,NIL,An unexpected journey.
s1928,Lucifer,TV Show,Sci-Fi,02-05-2016,Not Rated,NIL,,Jane Smith,"Actor E, Actor F",24-11-2017,NIL
s2980,Lucifer,TV Show,Romance,02-02-2002,9.4,NIL,,NIL,"Actor E, Actor C",25-04-2019,NIL
s3793,,TV Show,Crime,04-10-2002,NIL,143 min,Canada,Jane Smith,"Actor C, Actor E",20-11-2015,Based on true events.
s3184,Black Mirror,Movie,Crime,26-09-2022,NIL,61 min,France,Multiple Directors,,NIL,Based on true events.
s817,Black Mirror,Movie,Sci-Fi,25-01-2003,Not Rated,148 min,UK,Multiple Directors,"Actor B, Actor E",06-06-2004,Based on true events.
s2737,Peaky Blinders,Movie,,,Not Rated,NIL,Germany,John Doe,"Actor A, Actor D",NIL,NIL
s4630,Narcos,Movie,Drama,,5.2,,India,NIL,"Actor C, Actor E, Actor F, Actor B, Actor D",29-07-2004,
s4321,Narcos,,Documentary,21-05-2021,7,1 Seasons,Spain,,"Actor F, Actor E",10-04-2023,"Love, betrayal, and drama unfold."
s4653,The Crown,Movie,Unknown/Documentary,04-11-2013,Not Rated,2 Seasons,France,John Doe,"Actor A, Actor D, Actor C",25-01-2010,NIL
s2935,The Crown,TV Show,Documentary,26-01-2003,6.1,90 min,Spain,,Actor F,,NIL
,The Witcher,Movie,Sci-Fi,,NIL,NIL,USA,John Doe,"Actor F, Actor B, Actor A, Actor E, Actor C",10-01-2013,NIL
,,TV Show,Crime,09-05-2009,Not Rated,162 min,Japan,Multiple Directors,"Actor A, Actor D, Actor F, Actor C",19-10-2008,Based on true events.
s4022,Breaking Bad,TV Show,Unknown/Comedy,,,NIL,Canada,Multiple Directors,Actor D,06-09-2006,An unexpected journey.
s3577,You,Movie,Thriller,15-07-2021,6.9,7 Seasons,UK,NIL,,15-12-2000,Based on true events.
s3200,Lucifer,TV Show,Sci-Fi,10-01-2005,NIL,NIL,South Korea,Multiple Directors,"Actor A, Actor E, Actor B, Actor C",30-10-2011,A thrilling story of survival.
s476,You,TV Show,Unknown/Comedy,22-11-2015,NIL,3 Seasons,UK,Jane Smith,"Actor D, Actor C, Actor E, Actor F, Actor A",18-02-2018,Based on true events.
,Bird Box,TV Show,Documentary,20-05-2022,6.9,NIL,,Jane Smith,"Actor C, Actor D, Actor F, Actor A, Actor B",,
s1083,Black Mirror,TV Show,Action,,6.1,NIL,Japan,John Doe,,20-06-2005,NIL
s3555,,,,,NIL,,South Korea,John Doe,"Actor C, Actor A, Actor B",,Based on true events.
s139,The Crown,Movie,Documentary,03-02-2001,Not Rated,1 Seasons,Japan,Jane Smith,"Actor B, Actor D",28-07-2019,A thrilling story of survival.
s2559,Ozark,Movie,,,7.9,NIL,India,Multiple Directors,"Actor A, Actor F, Actor E",23-11-2006,A thrilling story of survival.
,,Movie,Documentary,13-10-2003,4.4,8 Seasons,France,,"Actor D, Actor E, Actor C, Actor F",18-12-2007,An unexpected journey.
s3824,,,Crime,06-07-2004,NIL,NIL,India,,"Actor A, Actor D, Actor C, Actor B",18-10-2004,A thrilling story of survival.
s2626,Money Heist,Movie,,04-09-2013,Not Rated,154 min,Japan,Jane Smith,"Actor E, Actor F, Actor D, Actor B, Actor A",10-12-2001,"Love, betrayal, and drama unfold."
s2153,You,Movie,Unknown/Thriller,15-01-2014,6,NIL,India,Multiple Directors,"Actor D, Actor B, Actor C",18-05-2004,An unexpected journey.
s4836,,Movie,Thriller,12-05-2012,NIL,NIL,UK,NIL,"Actor F, Actor A, Actor B, Actor C, Actor E",02-12-2021,"Love, betrayal, and drama unfold."
,Peaky Blinders,Movie,Romance,25-05-2002,6.5,NIL,Canada,Jane Smith,,03-01-2014,NIL
,Narcos,Movie,Comedy,27-06-2023,5.1,NIL,Japan,Jane Smith,"Actor C, Actor E, Actor F, Actor B, Actor D",08-03-2022,Based on true events.
s4904,Wednesday,,Comedy,23-02-2022,,NIL,France,Jane Smith,Actor B,24-01-2017,NIL
s3538,Squid Game,TV Show,Crime,,Not Rated,NIL,South Korea,Multiple Directors,Actor E,21-02-2000,NIL
s3795,Squid Game,TV Show,Thriller,19-01-2016,NIL,NIL,Japan,,"Actor E, Actor C",26-10-2007,A thrilling story of survival.
,Black Mirror,Movie,Romance,31-03-2010,5.6,6 Seasons,,NIL,"Actor B, Actor F",01-05-2012,
,The Crown,Movie,,25-02-2022,4.2,NIL,UK,NIL,"Actor E, Actor A, Actor B, Actor F, Actor C",NIL,Based on true events.
s469,Stranger Things,TV Show,Drama,08-10-2018,5.9,NIL,Canada,Jane Smith,"Actor C, Actor E",30-10-2008,Based on true events.
s4703,Extraction,TV Show,Crime,22-01-2015,7.6,NIL,,Jane Smith,"Actor F, Actor C, Actor A",NIL,"Love, betrayal, and drama unfold."
s4278,Stranger Things,TV Show,Comedy,10-05-2002,NIL,NIL,UK,NIL,"Actor A, Actor F",NIL,An unexpected journey.
s4622,NIL,TV Show,Crime,16-07-2021,Not Rated,5 Seasons,France,Jane Smith,"Actor F, Actor B",08-04-2015,NIL
s2427,Lucifer,Movie,Drama,04-07-2013,9.2,NIL,USA,NIL,,22-11-2021,Based on true events.
s934,Breaking Bad,TV Show,Horror,,NIL,NIL,India,NIL,"Actor F, Actor A, Actor D, Actor E",30-03-2016,
s2886,Wednesday,TV Show,Horror,11-10-2015,NIL,104 min,UK,NIL,Actor A,11-03-2006,NIL
s3997,Black Mirror,Movie,Documentary,,NIL,NIL,South Korea,NIL,"Actor E, Actor D",15-05-2017,Based on true events.
s2551,The Crown,Movie,Unknown/Drama,14-02-2011,7,NIL,Germany,Jane Smith,"Actor F, Actor B, Actor A, Actor E",19-02-2016,NIL
s4233,Breaking Bad,Movie,Romance,06-05-2012,8.1,81 min,UK,Multiple Directors,"Actor E, Actor C, Actor A",NIL,"Love, betrayal, and drama unfold."
s1259,Ozark,,Sci-Fi,,,8 Seasons,UK,NIL,"Actor F, Actor C, Actor B, Actor A, Actor D",12-10-2004,NIL
s507,Black Mirror,,Comedy,22-04-2006,,NIL,India,Jane Smith,,24-08-2002,NIL
s4406,Peaky Blinders,Movie,Comedy,,Not Rated,8 Seasons,Japan,John Doe,,21-03-2014,"Love, betrayal, and drama unfold."
s3430,The Night Agent,Movie,Unknown/Sci-Fi,20-10-2022,,117 min,France,NIL,Actor A,NIL,Based on true events.
,Wednesday,TV Show,Crime,31-07-2013,5.3,NIL,South Korea,Multiple Directors,,04-02-2012,An unexpected journey.
s851,Narcos,Movie,Romance,11-11-2005,Not Rated,2 Seasons,Germany,NIL,,NIL,A thrilling story of survival.
s3843,Money Heist,Movie,Horror,25-07-2020,8.1,177 min,UK,John Doe,"Actor C, Actor D",20-01-2009,A thrilling story of survival.
s298,The Irishman,TV Show,Romance,25-08-2020,Not Rated,NIL,Japan,Jane Smith,"Actor B, Actor D, Actor F, Actor C",08-10-2007,"Love, betrayal, and drama unfold."
,Money Heist,Movie,,18-06-2022,NIL,NIL,Germany,NIL,"Actor E, Actor F, Actor D, Actor A, Actor C",23-08-2005,NIL
s2647,Stranger Things,Movie,Comedy,24-11-2006,NIL,114 min,USA,Jane Smith,"Actor D, Actor C",05-08-2003,
s2032,Breaking Bad,TV Show,Action,25-05-2010,NIL,91 min,India,Jane Smith,"Actor A, Actor F, Actor C",20-02-2012,NIL
s1621,Money Heist,Movie,,,Not Rated,6 Seasons,Canada,John Doe,"Actor A, Actor F, Actor C",21-05-2000,"Love, betrayal, and drama unfold."
s3354,Ozark,TV Show,Horror,20-09-2008,NIL,5 Seasons,Spain,NIL,Actor F,13-12-2023,An unexpected journey.
s3915,Enola Holmes,,Action,12-07-2003,Not Rated,80 min,Japan,Multiple Directors,"Actor F, Actor D",02-08-2002,A thrilling story of survival.
s1709,Breaking Bad,Movie,,,,NIL,,Jane Smith,"Actor E, Actor B, Actor D, Actor C, Actor F",23-01-2007,An unexpected journey.
s1527,The Crown,TV Show,Comedy,04-09-2019,NIL,NIL,Japan,Multiple Directors,"Actor F, Actor E, Actor B, Actor D, Actor C",18-05-2012,
s1433,Red Notice,TV Show,Romance,02-09-2004,NIL,139 min,South Korea,NIL,"Actor F, Actor C, Actor A, Actor B",22-08-2017,NIL
,Stranger Things,,Unknown/Horror,12-09-2002,,NIL,India,John Doe,Actor A,28-10-2022,An unexpected journey.
s605,,TV Show,Action,,NIL,112 min,UK,NIL,"Actor D, Actor B",,NIL
s3063,Stranger Things,,Crime,,Not Rated,2 Seasons,Spain,Jane Smith,"Actor C, Actor A, Actor D, Actor F",25-10-2010,Based on true events.
s2757,Bird Box,TV Show,,,NIL,69 min,France,John Doe,Actor E,15-06-2006,NIL
s4905,Breaking Bad,TV Show,Sci-Fi,,6.5,NIL,South Korea,Multiple Directors,"Actor C, Actor E, Actor D, Actor F, Actor A",,"Love, betrayal, and drama unfold."
s3556,Bird Box,TV Show,Unknown/Crime,15-03-2016,8.2,109 min,UK,John Doe,"Actor C, Actor D, Actor E, Actor B, Actor F",28-05-2020,An unexpected journey.
s3043,The Irishman,Movie,Action,02-12-2014,Not Rated,NIL,India,John Doe,"Actor C, Actor F, Actor B, Actor D",13-03-2008,NIL
s836,Extraction,Movie,Crime,,Not Rated,,Japan,NIL,"Actor A, Actor D, Actor C, Actor E, Actor F",11-07-2013,
s2827,,TV Show,,09-08-2022,NIL,NIL,,Jane Smith,,NIL,NIL
s3512,NIL,,Thriller,26-12-2001,6.7,8 Seasons,India,Multiple Directors,"Actor E, Actor C",21-12-2002,
s2713,The Night Agent,Movie,Drama,,8.9,96 min,UK,Multiple Directors,"Actor B, Actor C, Actor A, Actor D, Actor F",NIL,
s2927,Extraction,Movie,Documentary,28-04-2022,6.5,2 Seasons,USA,Multiple Directors,"Actor E, Actor A, Actor D",02-02-2018,NIL
s4536,The Witcher,TV Show,Crime,26-03-2023,Not Rated,146 min,Germany,NIL,"Actor F, Actor C, Actor D, Actor E",,Based on true events.
s1037,Narcos,TV Show,Horror,16-06-2002,Not Rated,90 min,India,Multiple Directors,"Actor A, Actor D",NIL,NIL
,You,Movie,Romance,18-09-2024,5,1 Seasons,Canada,NIL,"Actor C, Actor D, Actor B, Actor F",23-08-2011,A thrilling story of survival.
s932,Squid Game,Movie,Thriller,28-06-2012,Not Rated,NIL,,John Doe,"Actor B, Actor A, Actor C, Actor E",25-09-2001,Based on true events.
s989,Bird Box,TV Show,Horror,02-01-2016,,91 min,France,NIL,"Actor E, Actor D, Actor A, Actor B",16-05-2004,Based on true events.
s994,Lucifer,Movie,Sci-Fi,,Not Rated,1 Seasons,South Korea,,Actor B,01-12-2010,NIL
s1551,The Night Agent,Movie,Documentary,02-04-2007,4.1,7 Seasons,Spain,Jane Smith,"Actor E, Actor C, Actor A, Actor F, Actor B",26-03-2006,A thrilling story of survival.
,Lucifer,TV Show,Documentary,10-11-2003,NIL,,Spain,John Doe,"Actor A, Actor D, Actor B",27-02-2008,
s4134,The Witcher,,Sci-Fi,18-08-2023,4.7,4 Seasons,India,NIL,"Actor D, Actor C, Actor B",31-07-2001,Based on true events.
s31,Money Heist,Movie,Sci-Fi,23-04-2019,NIL,NIL,India,Multiple Directors,"Actor C, Actor D, Actor A",29-06-2022,NIL
s1499,Narcos,,Thriller,06-03-2020,7.4,NIL,,Multiple Directors,"Actor F, Actor C, Actor B, Actor A, Actor E",NIL,NIL
s4500,Extraction,TV Show,Horror,,NIL,,UK,John Doe,,,NIL
s1968,Dark,TV Show,Documentary,,Not Rated,105 min,Japan,NIL,"Actor B, Actor D, Actor E",08-12-2022,Based on true events.
s411,Black Mirror,TV Show,Drama,23-10-2009,NIL,NIL,Germany,Jane Smith,"Actor C, Actor F, Actor D, Actor E, Actor B",08-11-2012,An unexpected journey.
s4780,Dark,Movie,,,8.4,139 min,Japan,Jane Smith,Actor F,10-07-2024,NIL
s665,The Irishman,TV Show,Sci-Fi,01-04-2012,NIL,NIL,Canada,John Doe,,02-01-2000,An unexpected journey.
s4060,Enola Holmes,,Documentary,25-03-2004,5.7,6 Seasons,UK,Multiple Directors,Actor C,NIL,A thrilling story of survival.
s2702,Squid Game,,Unknown/Crime,08-12-2004,Not Rated,NIL,India,Multiple Directors,"Actor E, Actor C",21-07-2001,A thrilling story of survival.
s1859,Bird Box,Movie,Drama,21-05-2006,8.1,NIL,South Korea,John Doe,Actor F,01-03-2009,"Love, betrayal, and drama unfold."
,Stranger Things,TV Show,Romance,23-12-2007,Not Rated,,Spain,NIL,"Actor E, Actor C, Actor A, Actor D, Actor B",,NIL
s2101,Enola Holmes,Movie,,,NIL,3 Seasons,USA,NIL,"Actor D, Actor E",01-05-2018,Based on true events.
s705,Ozark,Movie,Sci-Fi,,4.3,NIL,India,NIL,"Actor A, Actor E, Actor D, Actor B, Actor C",27-02-2022,A thrilling story of survival.
s3625,Narcos,,Action,07-09-2017,Not Rated,NIL,South Korea,NIL,Actor C,02-06-2018,NIL
s155,Extraction,Movie,Drama,29-09-2001,7.6,,South Korea,,,15-06-2012,
s1699,Narcos,TV Show,,09-03-2000,Not Rated,72 min,UK,Jane Smith,"Actor B, Actor F, Actor A",NIL,A thrilling story of survival.
s1590,The Night Agent,,Romance,30-01-2008,NIL,NIL,UK,NIL,"Actor F, Actor E, Actor C",NIL,A thrilling story of survival.
s4553,The Night Agent,Movie,Sci-Fi,16-07-2019,Not Rated,7 Seasons,USA,John Doe,"Actor A, Actor E, Actor B, Actor D, Actor F",07-06-2021,An unexpected journey.
s4228,Black Mirror,Movie,Crime,,6.6,124 min,,,,23-07-2019,Based on true events.
s4158,Peaky Blinders,Movie,Horror,15-10-2011,Not Rated,2 Seasons,India,John Doe,"Actor C, Actor F, Actor A, Actor B, Actor D",,NIL
,You,Movie,Drama,19-08-2011,5.8,,India,,"Actor E, Actor D, Actor B, Actor F, Actor C",,
s2946,Stranger Things,TV Show,Drama,07-08-2009,NIL,79 min,USA,Multiple Directors,"Actor D, Actor B",,Based on true events.
s2672,Wednesday,Movie,Unknown/Drama,03-04-2021,NIL,,USA,,"Actor D, Actor E",11-02-2014,
s2607,Red Notice,Movie,Thriller,31-03-2023,4.3,NIL,Canada,NIL,Actor E,24-05-2011,An unexpected journey.
s3112,The Night Agent,TV Show,Sci-Fi,,5.8,NIL,India,Multiple Directors,"Actor A, Actor C, Actor E",11-10-2013,Based on true events.
s4856,Bird Box,Movie,Unknown/Crime,03-10-2017,NIL,5 Seasons,Canada,NIL,"Actor C, Actor D",19-11-2015,An unexpected journey.
,Squid Game,TV Show,Unknown/Romance,05-01-2021,9.4,NIL,South Korea,Jane Smith,"Actor D, Actor F",02-02-2001,NIL
s2240,Bird Box,Movie,Sci-Fi,16-09-2012,NIL,156 min,France,Multiple Directors,"Actor E, Actor B, Actor A",27-02-2024,A thrilling story of survival.
s4476,The Witcher,TV Show,Horror,09-03-2016,Not Rated,1 Seasons,USA,NIL,"Actor F, Actor D, Actor B, Actor A, Actor E",NIL,
s2894,NIL,TV Show,Thriller,29-10-2014,NIL,5 Seasons,India,Multiple Directors,"Actor F, Actor E, Actor B, Actor D, Actor A",29-12-2023,NIL
s1535,Black Mirror,Movie,Documentary,27-03-2018,6.7,,France,John Doe,"Actor F, Actor A, Actor C",NIL,Based on true events.
s3349,Squid Game,TV Show,Crime,18-02-2007,NIL,,Canada,NIL,"Actor B, Actor D, Actor C, Actor E",NIL,Based on true events.
s1439,The Crown,,Unknown/Crime,23-05-2006,5.5,NIL,Germany,NIL,"Actor F, Actor B, Actor E, Actor A",07-03-2010,NIL
s2266,Peaky Blinders,TV Show,Comedy,09-06-2020,Not Rated,180 min,France,Multiple Directors,,11-10-2009,NIL
s3082,Narcos,Movie,Comedy,08-06-2019,Not Rated,NIL,Canada,NIL,Actor D,22-12-2009,Based on true events.
s3633,Bird Box,TV Show,Sci-Fi,17-04-2002,NIL,169 min,,Jane Smith,"Actor B, Actor C, Actor F",10-06-2004,NIL
,Red Notice,TV Show,Action,,Not Rated,6 Seasons,France,Multiple Directors,"Actor F, Actor B, Actor D, Actor E",NIL,NIL
s358,Peaky Blinders,Movie,Romance,18-07-2005,NIL,164 min,,Multiple Directors,"Actor E, Actor C",NIL,NIL
s2398,Breaking Bad,Movie,Romance,30-09-2007,,,Germany,Multiple Directors,"Actor D, Actor F, Actor C, Actor E, Actor A",17-11-2006,An unexpected journey.
s1314,Peaky Blinders,Movie,Action,20-04-2020,6,NIL,South Korea,John Doe,"Actor F, Actor E, Actor B",04-06-2018,"Love, betrayal, and drama unfold."
s2900,Red Notice,TV Show,Sci-Fi,28-10-2000,NIL,102 min,South Korea,NIL,,29-03-2002,An unexpected journey.
s132,Enola Holmes,TV Show,Unknown/Crime,11-07-2014,7.3,NIL,USA,NIL,Actor D,11-06-2005,NIL
s1447,Breaking Bad,TV Show,Comedy,02-03-2004,NIL,,India,Jane Smith,"Actor D, Actor A, Actor B, Actor E, Actor F",12-09-2001,
s3100,,Movie,Horror,,Not Rated,1 Seasons,India,John Doe,"Actor B, Actor E, Actor C, Actor A",NIL,A thrilling story of survival.
s2917,Enola Holmes,TV Show,,24-05-2017,,124 min,Spain,NIL,"Actor E, Actor C, Actor D, Actor A, Actor F",NIL,An unexpected journey.
s1232,Enola Holmes,Movie,Drama,15-08-2016,Not Rated,131 min,Canada,,"Actor E, Actor A, Actor B",,Based on true events.
s2291,Money Heist,,Crime,01-02-2023,4.3,3 Seasons,Canada,NIL,Actor C,07-05-2001,A thrilling story of survival.
s1627,Breaking Bad,TV Show,Comedy,06-04-2018,Not Rated,NIL,Canada,Multiple Directors,"Actor C, Actor D",21-11-2021,NIL
s1072,,TV Show,Action,23-10-2022,7.5,NIL,Canada,NIL,Actor E,22-04-2010,NIL
s3412,Breaking Bad,Movie,,20-06-2013,NIL,NIL,Canada,Jane Smith,"Actor C, Actor D",04-08-2024,An unexpected journey.
s663,Money Heist,TV Show,Documentary,29-11-2002,5.4,NIL,France,NIL,"Actor A, Actor E, Actor C, Actor B, Actor D",04-04-2018,"Love, betrayal, and drama unfold."
s2178,,,Documentary,,Not Rated,6 Seasons,,,Actor E,08-02-2001,NIL
s1331,The Crown,TV Show,Comedy,02-05-2006,Not Rated,NIL,Japan,Jane Smith,"Actor E, Actor D, Actor C",25-04-2010,"Love, betrayal, and drama unfold."
s3146,Peaky Blinders,TV Show,Unknown/Drama,06-12-2008,NIL,NIL,UK,John Doe,Actor D,19-03-2007,An unexpected journey.
s1616,Extraction,TV Show,Unknown/Action,01-11-2009,NIL,NIL,South Korea,Multiple Directors,"Actor A, Actor F, Actor C",24-04-2003,"Love, betrayal, and drama unfold."
,Breaking Bad,Movie,,26-01-2023,Not Rated,,USA,Multiple Directors,"Actor D, Actor C",NIL,NIL
s1268,Enola Holmes,Movie,Horror,10-12-2016,NIL,NIL,Canada,Multiple Directors,,14-02-2013,NIL
s2243,Dark,,Sci-Fi,20-11-2012,4,,Canada,NIL,Actor D,17-03-2004,A thrilling story of survival.
s1643,The Night Agent,Movie,Drama,13-04-2016,6.7,NIL,UK,NIL,"Actor F, Actor E, Actor D, Actor B, Actor A",18-09-2000,NIL
s3350,Black Mirror,Movie,Crime,14-02-2018,7.5,,Canada,Jane Smith,"Actor C, Actor D, Actor F",,Based on true events.
s3059,The Witcher,TV Show,Drama,10-01-2006,NIL,NIL,India,NIL,"Actor F, Actor D, Actor E, Actor B",13-08-2001,NIL
s4442,You,Movie,Comedy,15-05-2016,Not Rated,1 Seasons,,Jane Smith,"Actor B, Actor A, Actor D, Actor F, Actor E",04-01-2000,Based on true events.
s4392,The Crown,TV Show,Action,20-05-2018,,NIL,,NIL,Actor A,13-02-2011,An unexpected journey.
s4861,Narcos,Movie,Thriller,29-10-2018,NIL,,Spain,NIL,"Actor C, Actor A, Actor E, Actor F",08-04-2019,
s2809,The Night Agent,TV Show,Comedy,27-09-2013,Not Rated,NIL,India,John Doe,"Actor F, Actor C",16-07-2020,"Love, betrayal, and drama unfold."
s2449,Bird Box,Movie,Romance,19-01-2002,Not Rated,NIL,South Korea,Jane Smith,"Actor B, Actor E, Actor F, Actor A, Actor C",NIL,Based on true events.
s1752,You,TV Show,Comedy,11-10-2000,Not Rated,7 Seasons,,,"Actor F, Actor E, Actor B, Actor A, Actor C",12-03-2001,Based on true events.
s2694,Squid Game,TV Show,Drama,28-06-2014,Not Rated,NIL,Spain,,"Actor A, Actor F",09-07-2017,"Love, betrayal, and drama unfold."
s2846,Black Mirror,Movie,Crime,,Not Rated,NIL,Canada,NIL,"Actor E, Actor F",25-05-2010,A thrilling story of survival.
s3927,Red Notice,Movie,,21-11-2012,Not Rated,172 min,South Korea,John Doe,"Actor E, Actor A, Actor F",13-09-2021,NIL
s43,The Crown,TV Show,Horror,,NIL,8 Seasons,Japan,NIL,"Actor E, Actor C, Actor F",NIL,Based on true events.
s950,The Irishman,TV Show,Action,,,5 Seasons,Canada,NIL,Actor D,26-06-2005,NIL
s750,The Night Agent,TV Show,Romance,02-09-2007,NIL,NIL,,John Doe,"Actor E, Actor F",27-11-2006,NIL
s3467,The Night Agent,,Thriller,15-08-2009,Not Rated,NIL,South Korea,NIL,"Actor F, Actor E, Actor C",17-10-2006,Based on true events.
s1557,Bird Box,,Unknown/Thriller,14-11-2007,NIL,64 min,Spain,,"Actor D, Actor F, Actor A, Actor E",14-04-2014,NIL
s4272,NIL,TV Show,Romance,02-09-2014,,5 Seasons,South Korea,Jane Smith,Actor F,04-08-2012,An unexpected journey.
s4789,You,TV Show,Sci-Fi,24-09-2002,NIL,2 Seasons,UK,,"Actor E, Actor C, Actor A",NIL,"Love, betrayal, and drama unfold."
s629,Wednesday,TV Show,Romance,11-01-2018,NIL,,South Korea,NIL,"Actor A, Actor C, Actor E, Actor D",25-12-2004,Based on true events.
s4114,NIL,,Action,21-12-2011,5.9,NIL,France,NIL,"Actor A, Actor D",29-12-2001,A thrilling story of survival.
s2631,,TV Show,Sci-Fi,27-11-2007,Not Rated,NIL,Canada,Multiple Directors,Actor C,17-03-2017,NIL
s1401,Breaking Bad,,Unknown/Crime,30-12-2023,Not Rated,NIL,Germany,NIL,"Actor A, Actor B, Actor C, Actor F",02-07-2004,NIL
s3326,Bird Box,,Horror,30-04-2014,7.4,NIL,,NIL,"Actor E, Actor B, Actor A, Actor C, Actor D",18-10-2007,An unexpected journey.
